"","unit","coicop","geo","time","values"
"476","I05","CP00","FR",2005-01-01,98.37
"477","I05","CP00","PL",2005-01-01,99.4
"478","I05","CP00","DE",2004-12-01,99.2
"479","I05","CP00","FR",2004-12-01,98.93
"480","I05","CP00","PL",2004-12-01,99.4
"481","I05","CP00","DE",2004-11-01,98.1
"482","I05","CP00","FR",2004-11-01,98.8
"483","I05","CP00","PL",2004-11-01,99.4
"484","I05","CP00","DE",2004-10-01,98.5
"485","I05","CP00","FR",2004-10-01,98.75
"486","I05","CP00","PL",2004-10-01,99.1
"487","I05","CP00","DE",2004-09-01,98.2
"488","I05","CP00","FR",2004-09-01,98.48
"489","I05","CP00","PL",2004-09-01,98.5
"490","I05","CP00","DE",2004-08-01,98.6
"491","I05","CP00","FR",2004-08-01,98.4
"492","I05","CP00","PL",2004-08-01,98.3
"493","I05","CP00","DE",2004-07-01,98.5
"494","I05","CP00","FR",2004-07-01,98.15
"495","I05","CP00","PL",2004-07-01,98.5
"496","I05","CP00","DE",2004-06-01,98.1
"497","I05","CP00","FR",2004-06-01,98.35
"498","I05","CP00","PL",2004-06-01,98.6
"499","I05","CP00","DE",2004-05-01,98.1
"500","I05","CP00","FR",2004-05-01,98.31
"501","I05","CP00","PL",2004-05-01,97.9
"502","I05","CP00","DE",2004-04-01,97.9
"503","I05","CP00","FR",2004-04-01,97.92
"504","I05","CP00","PL",2004-04-01,96.9
"505","I05","CP00","DE",2004-03-01,97.6
"506","I05","CP00","FR",2004-03-01,97.65
"507","I05","CP00","PL",2004-03-01,96.2
"508","I05","CP00","DE",2004-02-01,97.2
"509","I05","CP00","FR",2004-02-01,97.22
"510","I05","CP00","PL",2004-02-01,95.9
"511","I05","CP00","DE",2004-01-01,97
"512","I05","CP00","FR",2004-01-01,96.78
"513","I05","CP00","PL",2004-01-01,95.8
"514","I05","CP00","DE",2003-12-01,97
"515","I05","CP00","FR",2003-12-01,96.75
"516","I05","CP00","PL",2003-12-01,95.2
"517","I05","CP00","DE",2003-11-01,96.2
"518","I05","CP00","FR",2003-11-01,96.64
"519","I05","CP00","PL",2003-11-01,95
"520","I05","CP00","DE",2003-10-01,96.4
"521","I05","CP00","FR",2003-10-01,96.54
"522","I05","CP00","PL",2003-10-01,94.7
"523","I05","CP00","DE",2003-09-01,96.5
"524","I05","CP00","FR",2003-09-01,96.33
"525","I05","CP00","PL",2003-09-01,94.2
"526","I05","CP00","DE",2003-08-01,96.6
"527","I05","CP00","FR",2003-08-01,95.92
"528","I05","CP00","PL",2003-08-01,93.7
